hotel_address,country
Stratton Street Mayfair Westminster Borough London W1J 8LT United Kingdom,West End
130 134 Southampton Row Camden London WC1B 5AF United Kingdom,Holborn & Covent Garden
151 bis Rue de Rennes 6th arr 75006 Paris France,Paris
216 Avenue Jean Jaures 19th arr 75019 Paris France,Paris
Molenwerf 1 1014 AG Amsterdam Netherlands,West
Via Mecenate 121 20138 Milan Italy,Municipio 4
97 Cromwell Road Kensington and Chelsea London SW7 4DN United Kingdom,Royal Borough of Kensington and Chelsea
Josefsgasse 4 6 08 Josefstadt 1080 Vienna Austria,Josefstadt
190 Queen s Gate Kensington and Chelsea London SW7 5EX United Kingdom,Knightsbridge & Belgravia
Holland Park Avenue Kensington and Chelsea London W11 4UL United Kingdom,Holland
34 44 Barkston Gardens Kensington and Chelsea London SW5 0EW United Kingdom,Earl's Court
16 Sumner Place Kensington and Chelsea London SW7 3EG United Kingdom,Brompton
Putget 68 Sarri St Gervasi 08023 Barcelona Spain,Sarrià - Sant Gervasi
Caspe 103 Eixample 08013 Barcelona Spain,Eixample
1 Kings Cross Road Islington London WC1X 9HX United Kingdom,King's Cross
Wrights Lane Kensington and Chelsea London W8 5SP United Kingdom,Abingdon
59 Leinster Square Kensington and Chelsea London W2 4PS United Kingdom,Bayswater
Pintor Fortuny 13 Ciutat Vella 08001 Barcelona Spain,Old Town
20 Upper Ground Southwark London SE1 9PD United Kingdom,Borough & Bankside
152 Cricklewood Broadway Cricklewood London NW2 3ED United Kingdom,Cricklewood
10a Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,Stratford Olympic Park
1 Addington Street Lambeth London SE1 7RY United Kingdom,Waterloo
8 rue Laferriere 9th arr 75009 Paris France,Paris
K rntner Ring 8 01 Innere Stadt 1010 Vienna Austria,Vienna
Balmes 117 Eixample 08008 Barcelona Spain,Eixample
Delflandlaan 15 Slotervaart 1062 EA Amsterdam Netherlands,Amsterdam
Apollolaan 138 Oud Zuid 1077 BG Amsterdam Netherlands,Zuid
88 Holland Road Kensington and Chelsea London W14 8BN United Kingdom,Holland
Karspeldreef 2 Zuidoost 1101 CJ Amsterdam Netherlands,Zuidoost
130 135 Minories City of London London EC3N 1NU United Kingdom,Tower
Rusland 17 Amsterdam City Center 1012 CK Amsterdam Netherlands,Amsterdam
163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,Canary Wharf
36 37 Lancaster Gate Westminster Borough London W2 3NA United Kingdom,Lancaster Gate
Via Fatebenefratelli 21 Milan City Center 20121 Milan Italy,Borgonuovo
65 73 Shaftesbury Avenue Westminster Borough London W1D 6EX United Kingdom,West End
20 Rue Jean Rey 15th arr 75015 Paris France,Paris
28 Ebury Street Westminster Borough London SW1W 0LU United Kingdom,Knightsbridge & Belgravia
Pallars 121 125 Sant Mart 08018 Barcelona Spain,Sant Martí
Diputaci 257 Eixample 08007 Barcelona Spain,la Dreta de l'Eixample
Leidsekade 97 Amsterdam City Center 1017 PN Amsterdam Netherlands,Amsterdam
97 Great Russell Street Bloomsbury Camden London WC1B 3LB United Kingdom,Bloomsbury
70 avenue des Champs Elysees 8th arr 75008 Paris France,Paris
Rotenturmstra e 15 01 Innere Stadt 1010 Vienna Austria,Vienna
South Quay Marsh Wall Tower Hamlets London E14 9SH United Kingdom,Canary Wharf
Gran V a de les Corts Catalanes 322 Sants Montju c 08004 Barcelona Spain,la Font de la Guatlla
209 211 rue de Charenton 12th arr 75012 Paris France,Paris
Sancho de vila 32 34 Sant Mart 08018 Barcelona Spain,Sant Martí
64 76 Hendon Way London NW2 2NL United Kingdom,Childs Hill
7 Pepys Street City of London London EC3N 4AF United Kingdom,Leadenhall Market
2 The Avenue Ealing London W13 8PH United Kingdom,Hanwell
218 rue de Rivoli 1st arr 75001 Paris France,Paris
92 Southampton Row Camden London WC1B 4BH United Kingdom,Bloomsbury
1a Lexham Gardens Kensington and Chelsea London W8 5JJ United Kingdom,Earl's Court
Mariahilfer Stra e 15 06 Mariahilf 1060 Vienna Austria,Vienna
Via Tarchetti 2 Milan City Center 20121 Milan Italy,Brera
24 Ludgate Hill City of London London EC4M 7DR United Kingdom,City of London
Prins Hendrikkade 33 Amsterdam City Center 1012 TM Amsterdam Netherlands,Amsterdam
33 37 Hogarth Road Kensington and Chelsea London SW5 0QQ United Kingdom,Earl's Court
Schottenring 3 01 Innere Stadt 1010 Vienna Austria,Vienna
Piazza Duca D Aosta 4 6 Central Station 20124 Milan Italy,Municipio 2
Arlandaweg 10 Westpoort 1043 EW Amsterdam Netherlands,Nieuw-West
Hintschiggasse 1 10 Favoriten 1100 Vienna Austria,Vienna
34 Norfolk Place Paddington Westminster Borough London W2 1QW United Kingdom,Hyde Park
Avinguda Catedral 7 Ciutat Vella 08002 Barcelona Spain,Old Town
181 Cromwell Road Kensington and Chelsea London SW5 0SF United Kingdom,Earl's Court
1 Shortlands Hammersmith and Fulham London W6 8DR United Kingdom,Brook Green
Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,Amsterdam
Westminster Bridge Road Lambeth London SE1 7UT United Kingdom,Waterloo & South Bank
11 12 Poplar Mews Shepherd s Bush Hammersmith and Fulham London W12 7JS United Kingdom,Shepherd's Bush Green
Sonnenhofgasse 8 10 05 Margareten 1050 Vienna Austria,Margareten
54 Upper Berkeley Street Westminster Borough London W1H 7QR United Kingdom,Marylebone
30 Barkston Gardens Kensington and Chelsea London SW5 0EN United Kingdom,Earl's Court
52 Chiswell Street City of London London EC1Y 4SD United Kingdom,Barbican
354 Queenstown Road Battersea London SW8 4AE United Kingdom,Wandsworth
7 rue Cl ment Marot 8th arr 75008 Paris France,Paris
Hendrikje Stoffelstraat 1 Slotervaart 1058 GC Amsterdam Netherlands,Amsterdam
Stubenring 2 01 Innere Stadt 1010 Vienna Austria,Vienna
Gran Via Corts Catalanes 656 Eixample 08010 Barcelona Spain,Eixample
