hotel_address,coords
Savoyenstra e 2 16 Ottakring 1160 Vienna Austria,"(48.2149546, 16.3021535)"
23 Rue Damr mont 18th arr 75018 Paris France,"(48.890918, 2.34769)"
Josefst dter Stra e 10 12 08 Josefstadt 1080 Vienna Austria,"(48.2108819, 16.3473687)"
W hringer Stra e 33 35 09 Alsergrund 1090 Vienna Austria,"(48.225073, 16.3583976)"
4 rue de la P pini re 8th arr 75008 Paris France,"(48.875257, 2.323375)"
Sieveringer Stra e 4 19 D bling 1190 Vienna Austria,"(48.2459644, 16.3412239)"
Taborstra e 8 A 02 Leopoldstadt 1020 Vienna Austria,"(48.2006384, 16.4268953)"
Bail n 4 6 Eixample 08010 Barcelona Spain,"(41.382902, 2.1777549)"
Gr nentorgasse 30 09 Alsergrund 1090 Vienna Austria,"(48.2208836, 16.3666091)"
Landstra er G rtel 5 03 Landstra e 1030 Vienna Austria,"(48.1936436, 16.3962862)"
Paragonstra e 1 11 Simmering 1110 Vienna Austria,"(48.1631087, 16.4580128)"
W hringer Stra e 12 09 Alsergrund 1090 Vienna Austria,"(48.225073, 16.3583976)"
20 Rue De La Ga t 14th arr 75014 Paris France,"(48.831919, 2.323273)"
Hasenauerstra e 12 19 D bling 1190 Vienna Austria,"(48.2612506, 16.328471)"
Sep lveda 180 Eixample 08011 Barcelona Spain,"(41.384781866842104, 2.1590636010526314)"
Pau Clar s 122 Eixample 08009 Barcelona Spain,"(41.39478380257235, 2.1692236414790997)"
Josefst dter Stra e 22 08 Josefstadt 1080 Vienna Austria,"(48.2108819, 16.3473687)"
